frame,time_s,ball_x,ball_y,ball_w,ball_h,cross_x,cross_y
36,0.6,1275,680,42,113,1280,720
37,0.617,1275,679,42,113,1280,720
38,0.633,1275,679,42,113,1280,720
39,0.65,1274,678,43,115,1280,720
40,0.667,1274,678,43,115,1280,720
41,0.683,1273,678,43,115,1280,720
42,0.7,1274,678,43,115,1280,720
43,0.717,1274,678,44,118,1280,720
44,0.733,1275,678,44,118,1280,720
45,0.75,1274,677,43,115,1280,720
46,0.767,1274,678,44,118,1280,720
47,0.783,1274,679,42,113,1280,720
48,0.8,1274,679,42,113,1280,720
49,0.817,1273,680,41,111,1280,720
50,0.833,1274,680,40,109,1280,720
51,0.85,1275,680,41,111,1280,720
52,0.867,1276,682,40,106,1280,720
53,0.883,1276,681,40,106,1280,720
54,0.9,1276,682,40,106,1280,720
55,0.917,1275,682,39,104,1280,720
56,0.933,1274,682,39,104,1280,720
57,0.95,1273,683,39,104,1280,720
58,0.967,1271,684,38,102,1280,720
59,0.983,1268,684,37,100,1280,720
60,1.0,1267,684,37,98,1280,720
61,1.017,1266,684,37,98,1280,720
62,1.033,1264,685,37,98,1280,720
63,1.05,1264,685,36,96,1280,720
64,1.067,1263,685,36,96,1280,720
65,1.083,1263,685,36,96,1280,720
66,1.1,1264,686,36,96,1280,720
67,1.117,1267,687,35,95,1280,720
68,1.133,1267,687,35,95,1280,720
69,1.15,1267,687,35,95,1280,720
70,1.167,1272,688,35,95,1280,720
71,1.183,1273,688,34,93,1280,720
72,1.2,1275,689,34,91,1280,720
73,1.217,1276,689,34,91,1280,720
74,1.233,1276,688,34,91,1280,720
75,1.25,1275,688,34,91,1280,720
76,1.267,1273,688,33,89,1280,720
77,1.283,1272,687,33,89,1280,720
78,1.3,1270,685,34,91,1280,720
79,1.317,1269,686,34,93,1280,720
80,1.333,1268,686,34,93,1280,720
81,1.35,1267,687,34,93,1280,720
82,1.367,1265,688,34,91,1280,720
83,1.383,1263,688,34,91,1280,720
84,1.4,1262,689,34,91,1280,720
85,1.417,1259,694,34,93,1280,720
